search_source,historical_discovery_provenance_state,historical_query_ids,repair_retrieval_provenance_state,repair_query_ids,repair_rerun_date,provenance_notes,date,title,authors,year,doi_or_identifier,duplicate_group,screening_state,original_eligibility_disposition,exclusion_reason,final_paper_id
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Determination of full 13C isotopomer distributions for metabolic flux analysis using heteronuclear spin echo difference NMR spectroscopy.","de Graaf AA; Mahle M; Möllney M; Wiechert W; Stahmann P; Sahm H","2000","10.1016/s0168-1656(99)00205-9","D-10674212","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Isotopomer analysis using GC-MS.","Christensen B; Nielsen J","1999","10.1006/mben.1999.0117","D-10937821","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Cumulative bondomers: a new concept in flux analysis from 2D [13C,1H] COSY NMR data.","van Winden WA; Heijnen JJ; Verheijen PJ","2002","10.1002/bit.10429","D-12402319","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0001;REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Genealogy profiling through strain improvement by using metabolic network analysis: metabolic flux genealogy of several generations of lysine-producing corynebacteria.","Wittmann C; Heinzle E","2002","10.1128/aem.68.12.5843-5859.2002","D-12450803","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Metabolic isotopomer labeling systems. Part II: structural flux identifiability analysis.","Isermann N; Wiechert W","2003","10.1016/s0025-5564(02)00222-5","D-12711410","RETAINED","retained","NA","P0018"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","A metabolic network analysis & NMR experiment design tool with user interface-driven model construction for depth-first search analysis.","Zhu T; Phalakornkule C; Ghosh S; Grossmann IE; Koepsel RR; Ataai MM; Domach MM","2003","10.1016/s1096-7176(03)00023-5","D-12850130","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","An improved method for statistical analysis of metabolic flux analysis using isotopomer mapping matrices with analytical expressions.","Araúzo-Bravo MJ; Shimizu K","2003","10.1016/s0168-1656(03)00169-x","D-14511915","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","High-throughput metabolic flux analysis based on gas chromatography-mass spectrometry derived 13C constraints.","Fischer E; Zamboni N; Sauer U","2004","10.1016/j.ab.2003.10.036","D-14751266","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Improvements in metabolic flux analysis using carbon bond labeling experiments: bondomer balancing and Boolean function mapping.","Sriram G; Shanks JV","2004","10.1016/j.ymben.2004.02.003","D-15113565","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Brain energy metabolism in a sub-acute rat model of manganese neurotoxicity: an ex vivo nuclear magnetic resonance study using [1-13C]glucose.","Zwingmann C; Leibfritz D; Hazell AS","2004","10.1016/j.neuro.2003.08.002","D-15183011","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
