"workstream_record_id","search_source","query_id","search_date","title","authors","year","doi_or_identifier","source_native_id","citation_anchor","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","raw_result_file","notes"
"DCL0001","Crossref","PHASE2-SEARCH-0104","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v2/review1","10.1002/btpr.3413/v2/review1","","D-CLOSE-10.1002/btpr.3413/v2/review1","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0002","Crossref","PHASE2-SEARCH-0104","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v1/review2","10.1002/btpr.3413/v1/review2","","D-CLOSE-10.1002/btpr.3413/v1/review2","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0003","Crossref","PHASE2-SEARCH-0104","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v2/review2","10.1002/btpr.3413/v2/review2","","D-CLOSE-10.1002/btpr.3413/v2/review2","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0004","Crossref","PHASE2-SEARCH-0104","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v1/review1","10.1002/btpr.3413/v1/review1","","D-CLOSE-10.1002/btpr.3413/v1/review1","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0005","Crossref","PHASE2-SEARCH-0104","2026-07-31","Bidirectional Graphormer for Reactivity Understanding: neural network trained to reaction atom-to-atom mapping task","Ramil Nugmanov; Natalia Dyubankova; Andrey Gedich; Joerg Kurt Wegner","2022","10.26434/chemrxiv-2022-bn5nt","10.26434/chemrxiv-2022-bn5nt","","D-CLOSE-10.1021/acs.jcim.2c00344","DUPLICATE","DUPLICATE_OR_SUPERSEDED_BY_10.1021/acs.jcim.2c00344","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Version relationship is explicit in the preserved identifiers/titles."
"DCL0006","Crossref","PHASE2-SEARCH-0104","2026-07-31","Parallel labeling experiments with [U-13C]glucose validate E. coli metabolic network model for 13C metabolic flux analysis","Robert W. Leighty; Maciek R. Antoniewicz","2012","10.1016/j.ymben.2012.06.003","10.1016/j.ymben.2012.06.003","","D-CLOSE-P0033","DUPLICATE","DUPLICATE_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0033","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","The DOI is already represented by the stated stable corpus ID."
"DCL0007","Crossref","PHASE2-SEARCH-0104","2026-07-31","Decision letter for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v2/decision1","10.1002/btpr.3413/v2/decision1","","D-CLOSE-10.1002/btpr.3413/v2/decision1","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0008","Crossref","PHASE2-SEARCH-0104","2026-07-31","SQ-KFP: A Framework for Spatially Quantitative Metabolic Flux Analysis Enables Imaging the In Vivo Absolute Metabolic Enzymatic Reaction Rate","","","10.1021/acs.analchem.6c00605.s001","10.1021/acs.analchem.6c00605.s001","","D-CLOSE-10.1021/acs.analchem.6c00605.s001","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0009","Crossref","PHASE2-SEARCH-0104","2026-07-31","Decision letter for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v1/decision1","10.1002/btpr.3413/v1/decision1","","D-CLOSE-10.1002/btpr.3413/v1/decision1","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0010","Crossref","PHASE2-SEARCH-0104","2026-07-31","Machine Learning Guided Atom Mapping of Metabolic Reactions","","","10.1021/acs.jcim.8b00434.s002","10.1021/acs.jcim.8b00434.s002","","D-CLOSE-10.1021/acs.jcim.8b00434.s002","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
