"discovery_id","search_id","source","search_date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","notes"
"ROOT-D0001","PHASE2-SEARCH-0011","PubMed","2026-07-31","Model validation and selection in metabolic flux analysis and flux balance analysis.","Kaste JAM; Shachar-Hill Y","2024","10.1002/btpr.3413","PMID:37997613","ROOT-10.1002/btpr.3413","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening."
"ROOT-D0002","PHASE2-SEARCH-0011","PubMed","2026-07-31","Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis.","Kaste JAM; Shachar-Hill Y","2023","PMID:36994165","PMID:36994165","ROOT-pmid:36994165","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening."
"ROOT-D0003","PHASE2-SEARCH-0011","PubMed","2026-07-31","Validation-based model selection for 13C metabolic flux analysis with uncertain measurement errors.","Sundqvist N; Grankvist N; Watrous J; Mohit J; Nilsson R; Cedersund G","2022","10.1371/journal.pcbi.1009999","PMID:35404953","ROOT-10.1371/journal.pcbi.1009999","FULL_TEXT_INCLUDED","NA","LEVEL_1_LOAD_BEARING","P0030","Prospective root workstream screening."
"ROOT-D0004","PHASE2-SEARCH-0011","PubMed","2026-07-31","Parallel labeling experiments with [U-13C]glucose validate E. coli metabolic network model for 13C metabolic flux analysis.","Leighty RW; Antoniewicz MR","2012","10.1016/j.ymben.2012.06.003","PMID:22771935","ROOT-10.1016/j.ymben.2012.06.003","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_2_SUPPORTING","P0033","Prospective root workstream screening."
"ROOT-D0005","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Flux balance analysis of biological systems: applications and challenges","Karthik Raman; Nagasuma Chandra","2009","10.1093/bib/bbp011","https://openalex.org/W2078775934","ROOT-10.1093/bib/bbp011","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0006","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Machine and deep learning meet genome-scale metabolic modeling","Guido Zampieri; Supreeta Vijayakumar; Elisabeth Yaneske; Claudio Angione","2019","10.1371/journal.pcbi.1007084","https://openalex.org/W2948600471","ROOT-10.1371/journal.pcbi.1007084","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0007","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","The Protein Cost of Metabolic Fluxes: Prediction from Enzymatic Rate Laws and Cost Minimization","Εlad Noor; Avi I. Flamholz; Arren Bar‐Even; Dan Davidi; Ron Milo; Wolfram Liebermeister","2016","10.1371/journal.pcbi.1005167","https://openalex.org/W2312280072","ROOT-10.1371/journal.pcbi.1005167","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0008","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Recent advances in metabolic engineering of Saccharomyces cerevisiae: New tools and their applications","Jiazhang Lian; Shekhar Mishra; Huimin Zhao","2018","10.1016/j.ymben.2018.04.011","https://openalex.org/W2801954748","ROOT-10.1016/j.ymben.2018.04.011","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0009","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Metabolic Modelling as a Framework for Metabolomics Data Integration and Analysis","Svetlana Volkova; Marta R. A. Matos; Matthias Mattanovich; Igor Marín de Mas","2020","10.3390/metabo10080303","https://openalex.org/W3044317230","ROOT-10.3390/metabo10080303","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0010","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Model validation and selection in metabolic flux analysis and flux balance analysis","Joshua A. M. Kaste; Yair Shachar‐Hill","2023","10.1002/btpr.3413","https://openalex.org/W4361304224","ROOT-10.1002/btpr.3413","DUPLICATE","DUPLICATE_OF_EARLIER_PHASE2_OCCURRENCE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
