"workstream_record_id","query_id","search_source","search_date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","raw_result_file","notes"
"C0001","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Modeling T Cell Antigen Discrimination Based on Feedback Control of Digital ERK Responses","Grégoire Altan‐Bonnet; Ronald N. Germain","2005","10.1371/journal.pbio.0030356","https://openalex.org/W2063116057","C-DUP-0001","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0002","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","A Review of Modern Computational Algorithms for Bayesian Optimal Design","Elizabeth Ryan; Christopher Drovandi; James McGree; A. N. Pettitt","2015","10.1111/insr.12107","https://openalex.org/W2101484286","C-DUP-0002","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0003","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","<i>In silico</i> ADME/T modelling for rational drug design","Yulan Wang; Jing Xing; Yuan Xu; Nannan Zhou; Jianlong Peng; Zhaoping Xiong; Xian Liu; Xiaomin Luo; Cheng Luo; Kaixian Chen; Mingyue Zheng; Hualiang Jiang","2015","10.1017/s0033583515000190","https://openalex.org/W2402258526","C-DUP-0003","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0004","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","The model for end-stage liver disease (MELD)","Patrick S. Kamath; Ray W. Kim","2007","10.1002/hep.21563","https://openalex.org/W2017557941","C-DUP-0004","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0005","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Optimal experimental design and some related control problems","Luc Pronzato","2007","10.1016/j.automatica.2007.05.016","https://openalex.org/W2124293649","C-DUP-0005","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0006","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Optimal discrimination designs","Holger Dette; Stefanie Titoff","2009","10.1214/08-aos635","https://openalex.org/W2115070480","C-DUP-0006","FULL_TEXT_INCLUDED","","LEVEL_1_LOAD_BEARING","P0038","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0007","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI","Alejandro Barredo Arrieta; Natalia Díaz-Rodríguez; Javier Del Ser; Adrien Bennetot; Siham Tabik; Alberto Barbado; Salvador García; Sergio Gil-López; Daniel Molina; Richard Benjamins; Raja Chatila; Francisco Herrera","2019","10.1016/j.inffus.2019.12.012","https://openalex.org/W2981731882","C-DUP-0007","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0008","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Discriminating between rival biochemical network models: three approaches to optimal experiment design","Bence Mélykúti; Elias August; Antonis Papachristodoulou; Hana El‐Samad","2010","10.1186/1752-0509-4-38","https://openalex.org/W2139417466","C-DUP-0008","FULL_TEXT_INCLUDED","","LEVEL_1_LOAD_BEARING","P0039","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0009","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Deep learning in color: towards automated quark/gluon jet discrimination","Patrick T. Komiske; Eric M. Metodiev; Matthew D. Schwartz","2017","10.1007/jhep01(2017)110","https://openalex.org/W2563484019","C-DUP-0009","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0010","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Discrimination of Breast Cancer with Microcalcifications on Mammography by Deep Learning","Jinhua Wang; Xi Yang; Hongmin Cai; Wanchang Tan; Cangzheng Jin; Li Li","2016","10.1038/srep27327","https://openalex.org/W2409650203","C-DUP-0010","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
