"phase3_id","title","year","doi","classification","search_families","query_ids","primary_observation","inferential_target","latent_flux_treatment","nonidentifiability_considered","several_mids_coupled","sampling_unit","biological_technical_hierarchy","finite_sample_guarantee","exact_source_location","phase3_components_covered","defining_components_absent","full_text_status","existing_record_id","raw_capture","screening_notes"
"P3-0001","Predicting outcomes of steady-state 13C isotope tracing experiments using Monte Carlo sampling","2012","10.1186/1752-0509-6-9","PARTIAL FORMULATION","A;B;C;E","P3-SEARCH-0019;P3-SEARCH-0020;P3-WEB-17","Simulated multi-fragment MDV coordinates; experimental MDVs used to validate design scores","High/low reaction-flux or flux-ratio class separation and tracer/measurement design","Feasible flux points define the classes; flux is not merely nuisance","Yes: a target can separate while the full flux vector is unresolved","Yes: one sampled flux state generates all fragment MDVs, but the final score sums marginal Z scores","Synthetic feasible-flux draw; biological unit not formalized","None","Simulation/heuristic only; fixed alpha in the scoring rule is not Type-I/II calibration or a sample requirement","Background and Fig. 1; Results 'Monte Carlo Sampling Approach' and Fig. 2; 'Generating and Evaluating 13C Experimental Hypotheses', Zi and Z equations; 'Dimensionality of Isotopomer Data'; Methods","Induced MID clouds; class-level objective; multiple network-linked fragments; incomplete flux recovery","Replicate law; flux-as-nuisance class risk; experimental hierarchy; finite-sample error; certified global family geometry","retrieved_full_text","NA","verification/P3-SCHELLENBERGER-PMC3323462.xml","Closest mathematical class/geometry precedent; not an exact match"
"P3-0002","Bayesian kinetic modeling for tracer-based metabolomic data","2023","10.1186/s12859-023-05211-5","PARTIAL FORMULATION","A;B;D","P3-SEARCH-0001;P3-WEB-19","Vectors of log isotopomer concentrations at time points in assumed independent repeated samples","Kinetic-parameter or derived-flux comparison between experimental groups","Kinetic parameters/fluxes are inferential targets","Multiple equally fitting parameter vectors motivate priors; no direct class test under non-ID","Yes: isotopomers share a nonlinear ODE network and variance shrinkage","Mathematical repeated sample j; culture/tissue/batch lineage not modeled","One diagonal residual level combines biological and technical variation","Posterior intervals and credible value assessed by simulation; no finite-sample frequentist guarantee","Methods 'A Bayesian kinetic model', Eq. 1 and likelihood; variance-shrinkage subsection; 'Comparison of kinetic model parameters between experimental groups'; simulations; Discussion","Replicate isotope likelihood; network coupling; variance estimation; group comparison","Direct metabolic-class target; flux nuisance; class test under non-ID; full hierarchy; finite-sample error/sample size","retrieved_full_text","NA","verification/P3-ZHANG-PMC10035190.xml","Closest replicate-level probabilistic network model"
"P3-0003","Model validation and selection in metabolic flux analysis","2022","10.1371/journal.pcbi.1009999","PARTIAL FORMULATION","B;C","P3-SEARCH-0011;P3-B-PB1;P3-CITE-05","13C MIDs with tracer datasets separated into estimation and validation roles","Reaction-network model selection followed by flux estimation","Flux is fitted within every candidate model; partly nuisance for model ranking but still central estimator","No theory of class testability under nonunique flux","Yes: multiple MIDs/tracers are jointly linked by candidate network and shared flux","Tracer experiment/dataset; biological replicate lineage not resolved","No batch/culture/preparation/injection random-effects hierarchy","Empirical simulations and validation SSR; source distinguishes selection from final model testing","Results after Table 1; §§2.3–2.5; Figs. 4, 6, 8; Methods §§4.1, 4.5; Discussion","Network-coupled isotope model selection; held-out tracer validation","Direct metabolic-class law; testing under flux non-ID; full hierarchy; finite-sample errors/sample requirements","retrieved_full_text","P0030","../phase2_raw_search_results/B/P0030-PMC9022838-fulltext.xml","MFA model selection is not direct class testing"
"P3-0004","Integrated 13C-metabolic flux analysis of 14 parallel labeling experiments in Escherichia coli","2015","10.1016/j.ymben.2015.01.001","PARTIAL FORMULATION","C","P3-SEARCH-0009;P3-SEARCH-0011;P3-CITE-06","GC-MS MIDs from 14 tracer experiments; 14 fragments per experiment; 1246 abundances for eight new experiments and 811 nonzero MID measurements plus two constraints in the integrated fit","One central-carbon flux map with experiment-specific dilution parameters","Shared flux is the estimation target","Not treated","Yes: 14 datasets concurrently fit to one flux model with experiment-specific G parameters","Tracer culture/experiment; fragments and isotopologues are measurement coordinates","No explicit culture/batch/preparation/injection variance hierarchy","SSR/chi-square fit and flux-confidence analysis; no finite-sample class error/sample requirement","Methods §§2.3 Analytical methods, 2.4 Gas chromatography mass spectrometry, 2.5 Metabolic network model and flux analysis, 2.6 Goodness-of-fit analysis; Results §§3.1–3.2","True shared-state multi-MID coupling across parallel experiments","Direct class target; non-ID testing; hierarchy; finite-sample decision guarantee","retrieved_full_text","NA","verification/P3-PARALLEL14-PMC5845449.xml","Closest parallel shared-state estimation workflow"
"P3-0005","Comprehensive assessment of measurement uncertainty in 13C-based metabolic flux experiments","2018","10.1007/s00216-018-1017-7","PARTIAL FORMULATION","C;D","P3-SEARCH-0011;P3-SEARCH-0015;P3-SEARCH-0016;P3-CITE-07","Raw ion counts and integrated/corrected isotope fractions","Quantify analytical/aggregate biological uncertainty and its effect on downstream flux estimates","Flux is downstream of the isotope-fraction uncertainty model","No","Fragments/isotope fractions are propagated, but no shared class family","Analytical measurement and a reported biological replicate; exact culture lineage not modeled","Ion counting, integration, ionization/transmission and correction distinguished; biological dispersion aggregate only","100000-run Monte Carlo propagation; no finite-sample class guarantee or prospective biological sample size","Methods 'Measurement uncertainty assessment using Monte Carlo simulation', Table 1 and corrected-IF equation; Results 'Contribution of biological variability'; Discussion","Ion-to-MID analytical error propagation; acknowledgment of nonseparable biological variation","Full batch/culture/preparation/injection variance model; class target; non-ID; finite-sample class risk","retrieved_full_text","NA","verification/P3-UNCERTAINTY-PMC5937919.xml","Closest analytical-pipeline uncertainty model"
"P3-0006","Metabolic isotopomer labeling systems. Part II: structural flux identifiability analysis","2003","10.1016/S0025-5564(02)00222-5","PARTIAL FORMULATION","B;E","P3-B-PB1;P3-E-OA-01;P3-CITE-04","Ideal noise-free isotope-labeling measurements","Structural identification of fluxes","Flux is the target parameter","Central: explicit non-identifiable examples and rank conditions","Yes: isotope measurements share the network/cumomer system","Not applicable to deterministic structural analysis","None","Deterministic rank/identifiability result, not statistical finite-sample error","Introduction; 'Measurement models for CLEs'; non-identifiable example; Theorem 4; 'Partial information analysis'; Conclusions","Forward-map injectivity and a genuine obstruction to full flux recovery","Class testing despite non-ID; replicate law; hierarchy; class risk/sample size","retrieved_full_text","P0018","phase2 primary full-text evidence; provider record","Structural non-ID does not imply class non-testability"
"P3-0007","Planning optimal measurements of isotopomer distributions for estimation of metabolic fluxes","2006","10.1093/bioinformatics/btl069","PARTIAL FORMULATION","E","P3-SEARCH-0019;P3-WEB-18","Noiseless isotopomer-distribution constraints including fragments","Minimum measurement set preserving information for flux estimation","Flux is the target","Underdetermined solution spaces and uninformative measurements acknowledged, not used for class testing","Yes: exact network/carbon-map equivalence links fragments","None","None","Deterministic fragment-equivalence lemmas and NP-hard measurement-selection result, not class error","§2 Eqs. 1–4; §3 Lemmas 1–2 and Figs. 1–3; §4.1 Problem 1 and Theorem 1; §4.4; §6","Exact equality/redundancy/order structure among network-induced fragment distributions","Probability law; metabolic classes; hierarchy; finite-sample testing; least-favourable structure","retrieved_full_text","NA","verification/P3-RANTANEN-crossref.json; verification/P3-RANTANEN-pubmed.xml","Conclusion's network-falsification design is future work"
"P3-0008","Elementary metabolite units (EMU): a novel framework for modeling isotopic distributions","2007","10.1016/j.ymben.2006.09.001","PARTIAL FORMULATION","C;E","P3-SEARCH-0002;P3-SEARCH-0011","Measured fragment MIDs used to determine required EMU states","Efficient isotope forward simulation for downstream flux estimation","Flux is input to simulation and an estimation target","Not a class-testing issue","Yes: multiple EMUs/MIDs share fluxes and atom maps","None","None","Exact computational equivalence for stated decomposition, not statistical risk","Methods §§2.1–2.6, EMU decomposition and algorithms; computation/equivalence comparison","Construction of deterministic network-coupled forward MID map","Law-image geometry; class test; non-ID target; hierarchy; finite-sample error","retrieved_full_text","P0002","verification/P3-EMU-PMC1994654.html","Forward construction alone does not solve the decision problem"
"P3-0009","Model-independent fluxome profiling from 2H and 13C experiments for metabolic variant discrimination","2004","10.1186/gb-2004-5-12-r99","APPLICATION WITHOUT THEORY","A;B;C","P3-WEB-16;P3-CITE-01","Corrected GC-MS amino-acid fragment mass-distribution vectors; about 260 13C or 330 2H mass values per sample","Unsupervised discrimination of mutants/conditions and isotope-profile fingerprints","No network or full flux fit; ICA compared post hoc with flux ratios","Avoids an unavailable model but gives no formal test under flux non-ID","Many fragment vectors concatenated for PCA/ICA; no shared-latent law","Culture/sample; duplicates reportedly independently started from stocks","No batch/day/preparation/injection/measurement hierarchy","No controlled error or sample requirement; duplicate/bootstrap component stability only discussed","Abstract; Background final paragraph; Results '2H and 13C tracer experiments' and 'Independent component analysis'; Discussion; Methods 'Strains and growth conditions', 'GC-MS analysis and data preprocessing', 'Multivariate data analysis'","Direct flux-free isotope-profile discrimination; multiple fragments","Network-induced class law; calibrated test; formal non-ID; hierarchy; finite-sample risk","retrieved_full_text","NA","verification/P3-ZAMBONI-PMC545802.xml","Closest direct empirical precedent; application category because no relevant mathematical test formulation/guarantee"
"P3-0010","DIMet: an open-source tool for differential analysis of targeted isotope-labeled metabolomics data","2024","10.1093/bioinformatics/btae282","APPLICATION WITHOUT THEORY","A;D","P3-SEARCH-0018;P3-WEB-20;P3-CITE-09","Corrected isotopologue values/proportions, metabolite abundance and mean enrichment in sample tables","Pairwise, multigroup, time-course and labeling-profile differential analysis","Flux analysis explicitly outside scope","No","Profile comparison/PCA/network display, not a common-latent joint law","Input sample; use-case triplicates only","None","Ordinary parametric/nonparametric/permutation tests and FDR; no experiment-family finite-sample theorem/sample requirement","§1; §2.1 inputs, tests and profile comparison; §3.1 triplicates; §§3.2.1–3.2.2 and Fig. 1","Direct flux-free MID comparisons and ordinary testing","Metabolic-class family; shared flux nuisance; non-ID; hierarchy; network-level risk","retrieved_full_text","NA","verification/P3-DIMET-PMC11109473.xml","Supplement retrieval failure is not used"
